name,room_type,price,minimum_nights,number_of_reviews
Walk to French Quarter / Jazz Fest 2,Entire home/apt,88,2,387
Comfy 2 bdrm duplex in Upper Ninth,Entire home/apt,50,30,54
Ms. Arlington's Room,Entire home/apt,60,2,202
Guesthouse W/ Beautiful Courtyard!,Entire home/apt,87,3,228
Cozy 2 br  1.5 bath Uptown Freret (17STR-10236),Entire home/apt,127,2,77
1850s cottage close to French Q.& Jazz Fest,Entire home/apt,170,30,32
Waterfront Bayou St. John Jazz Fest neighborhood!,Entire home/apt,475,2,21
New Orleans Special 1 bdrm sleeps 4,Entire home/apt,141,2,2
New Orleans center of town sleeps 2,Entire home/apt,116,2,1
Social Distancing and Mental Health Oasis,Entire home/apt,150,3,241
RENT ONE FLOOR OR BOTH,Entire home/apt,2000,30,6
Tropical Balcony on Streetcar Line,Entire home/apt,192,30,66
Comfy Home Walk 2 French Quarter  Faubourg Marigny,Entire home/apt,93,1,259
Local Flavor,Entire home/apt,500,1,95
4th floor spacious private loft,Entire home/apt,172,3,61
Courtyard Guesthouse in the Marigny,Entire home/apt,186,3,171
The Victorian Plum 18str-04594 permit number,Entire home/apt,517,30,29
Magazine Street Muse!,Entire home/apt,170,3,90
Massive Loft 1BR/2BASteps to Marigny/FQ,Entire home/apt,275,3,27
Jetsetter Luxury  Magazine Street,Entire home/apt,400,31,44
Balcony!! Steps to FQ Ask about additional guests,Entire home/apt,450,3,32
The Okra Inn's Twin Bedroom: On Canal Streetcar,Private room,68,1,118
BEST Marigny Triangle Pied-d-Terre,Entire home/apt,156,1,77
Charming Gentilly Home,Private room,95,2,48
Luxury and Charm Rt Off Audubon Park,Entire home/apt,182,3,6
Heart of the City With Bikes,Private room,60,3,91
Cozy Ensuite in NOLA's 1st Eco-Round Cottage!,Private room,68,30,53
Townhouse Overlooking the Bayou St. John and City Park,Entire home/apt,250,2,19
Irish Channel Suite,Entire home/apt,100,2,294
The Caribbean Room,Private room,119,2,22
NEW ORLEANS  LA - THE BIG EASY !,Private room,347,2,1
Bayou Oaks Plantation,Entire home/apt,1331,3,14
19STR-23833 Very Large Bedroom; parking included,Private room,185,1,28
The Moroccan Room,Private room,119,2,16
MANSION Steps to French Quarter!  HUGE COURTYARD!,Entire home/apt,321,2,69
Frenchmen GEM! Courtyard! Walk to French Quarter!,Entire home/apt,400,2,73
HISTORIC ART LOFT near French Quarter & FRENCHMEN!,Entire home/apt,104,3,116
Updated 2BD in the heart of uptown,Entire home/apt,179,2,20
Little Green House in the LGD - 30 Night Minimum,Entire home/apt,125,30,66
Charming 2 Bedroom walking distance to Quarter,Entire home/apt,163,2,27
Cozy Gentilly Home,Entire home/apt,150,2,45
Uptown near Streetcar(Trolley) with 2 Indoor Cats,Entire home/apt,54,3,43
The Gingerbread House—Hidden Historic Marigny Gem,Entire home/apt,245,2,172
Diamond III,Entire home/apt,1000,30,56
New Orleans Vacation Rental,Entire home/apt,233,3,117
central locale-uptown universities,Entire home/apt,96,30,26
Gorgeous Apartment in Treme,Entire home/apt,126,1,347
Charming NOLA shotgun-  fantastic neighborhood,Entire home/apt,108,2,47
Great location. Furnished & All utilities included,Entire home/apt,75,30,8
Beautiful 3br home! Great Location,Entire home/apt,199,1,61
Caprice Creole Cottage.,Entire home/apt,110,1,46
Uptown Cottage  Great location Pet Friendly,Entire home/apt,63,30,21
1930's Cottage Uptown,Entire home/apt,95,2,238
GARDEN GEM!-LEGAL PMT 2 BLKS FROM BEST OF MAGAZINE,Entire home/apt,550,1,74
Experience the Charmed Marigny Life,Entire home/apt,124,3,171
Secluded studio  whirlpool bath!,Entire home/apt,81,2,282
Summer Sale 30% off,Entire home/apt,438,2,58
Vincent’s Hideaway,Entire home/apt,140,2,220
Private Room 1 - Walk to the French Quarter,Private room,72,2,86
Two story gem near park & streetcar,Entire home/apt,153,3,105
Stunning! Vacation Rentals in New Orleans,Entire home/apt,564,29,23
Creole Guest Cottage  Just Steps to Magazine St!,Entire home/apt,119,2,19
8   Bourbon Rm Free Breakfast/Wine/Pool/Pet/HotTub,Hotel room,66,2,43
13               BungalowMAGAZINE ST./Hot Tub/Pets,Entire home/apt,78,2,224
Comfy Bayou St. John Beauty  close to the French Quarter,Entire home/apt,254,4,113
Ma Maison Marigny—Boho Paradise near the French Quarter,Entire home/apt,82,2,207
Private Room 2 - Walk to the French Quarter,Private room,72,2,83
Spacious Uptown Apt near Tulane,Entire home/apt,110,2,92
NEW ORLEANS - Uptown Neighborhood Resort,Private room,347,2,0
New Orleans - PARTY CAPITAL of the SOUTH !!,Private room,347,2,1
Uptown Cottage ON Magazine Street. Stay a while!,Entire home/apt,89,30,25
Treme Getaway,Entire home/apt,150,30,176
Cozy Bungalow on Esplanade,Entire home/apt,120,30,159
Newly Renovated Urban Oasis.,Entire home/apt,99,3,117
Great location with privacy / charm,Private room,75,2,269
Bright Warehouse/Arts District Loft,Entire home/apt,345,3,63
Parrot Palace / Garden / Easy Walk Around New Orleans,Entire home/apt,75,2,259
