name,room_type,price,minimum_nights,number_of_reviews
Beautiful Sunny Bedroom Bathroom Suite w/ Balcony,Private room,100,2,5
Spacious  private 1BR garden suite,Entire home/apt,91,2,200
Chic 1B in the Heart of the City,Entire home/apt,100,2,63
Located in the Heart of DC,Private room,85,2,293
Lovely private room close to Dupont circle,Private room,55,5,7
Georgetown Renovated 2 b-Garden Apt,Entire home/apt,185,3,79
Stylish Basement w/ parking at amazing location!,Entire home/apt,180,2,129
Columbia Heights-Noel's Place,Entire home/apt,100,2,40
Bedroom in Capitol Hill row-house,Private room,50,2,357
Your Own Historic Row House Suite,Entire home/apt,167,2,333
Spacious & Modern in West End,Entire home/apt,135,1,273
Historic Home steps from Capitol,Entire home/apt,114,3,267
One Bedroom for Rent in Rowhouse,Private room,55,3,67
Lux 2 Bedroom near White House w/wifi,Entire home/apt,189,15,14
Spacious 1BR in Capitol Hill,Entire home/apt,130,3,100
Modern 2Bd/1.5 Bath U Street Home,Entire home/apt,319,2,12
Cozy Colonial N Convenient Location,Private room,120,3,53
Basement apartment-great location,Entire home/apt,114,3,20
GREAT SOCIAL DISTANCING /Street Like a Movie Set | 3 blocks to Capitol - Huge Picture Window Overlooking Grand East Capitol Street,Entire home/apt,115,30,36
Sunny Studio in elegant area of DC,Entire home/apt,61,2,2
3 bedroom 2 bathroom  w/ Large Deck for RENT.,Entire home/apt,100,365,1
Private room with single bed,Private room,28,3,6
Great Downtown Location  Fun Hosts+Daily Breakfast,Private room,200,2,1
Charming Spacious DC Logan Circle Row House,Entire home/apt,497,3,133
Sports themed room next to metro,Private room,34,2,348
Night Sky room next to Metro,Private room,39,2,101
Hillcrest  Washington  DC USA,Private room,39,2,33
Contemporary Tree House,Private room,35,3,6
Chez ChEllers,Entire home/apt,94,1,85
Cozy room in NW Washington,Private room,60,1,14
The Dupont Diamond,Entire home/apt,50,2,51
SouthWest Waterfront Home,Private room,214,3,26
Luxury Executive Apartment,Entire home/apt,70,14,59
Gorgeous room on Rhodeisland ave  nw,Private room,35,28,9
2br apt-2 blocks to Capitol Building & Whole Foods,Entire home/apt,289,2,169
private Room/Studio in Glover park  up Georgetown,Private room,51,3,5
Nice cozy room next to the petworth Metro,Private room,35,28,19
Comfy Guestroom in NW DC,Entire home/apt,40,4,4
Beautiful Georgetown House w Patio,Entire home/apt,379,4,39
Sundrenched 1BR Dupont Circle,Entire home/apt,86,1,278
Lovely Suite in LeDroit Park,Private room,74,1,195
Dupont's Best 1 BR Apt - Park Here  Walk to Metro1,Entire home/apt,127,1,316
Capitol Hill elegant  charming room,Private room,70,2,415
Upscale 1 BR (Dupont  U & 14th St.),Entire home/apt,82,6,90
Georgetown Private Room/Suite,Entire home/apt,90,3,16
New studio/carriage house w/parking,Entire home/apt,84,4,39
Affordable Luxury Master EnSuite Capitol Hill,Private room,135,1,186
Cozy Bloomingdale Abode,Entire home/apt,95,7,85
Loft Living in Logan Circle/14th St,Entire home/apt,475,5,9
Garden bedroom in Georgetown!,Private room,60,14,7
Dupont Circle Townhouse 1,Private room,70,14,16
