name,room_type,price,minimum_nights,number_of_reviews
Lafayette Place /Beaches Newport  URI,Entire home/apt,93,1,348
Wickford  NK  Newport  Beaches. Central A/C,Entire home/apt,243,1,94
Sparkling Clean & Super Spacious Apartment-WestEnd,Entire home/apt,149,14,236
Matunuck Ranch by the Sea (next to Beach Haven II),Entire home/apt,259,2,103
The Lily Room at Garden Gate B&B,Private room,90,2,98
Simonelli Upper Apt.,Entire home/apt,600,2,42
Beautiful Block Island Vacation Rental Home,Entire home/apt,410,7,1
The Cottage Room at Garden Gate B&B,Private room,101,2,104
Historic Hill Inn Two Bedroom Apartment/Suite,Entire home/apt,175,1,19
Aug. Jazz Fest 3 night min. Vacation Season!,Private room,127,1,144
Newport Boutique Hotel w/ Pvt. Bath & Parking,Hotel room,135,1,48
Select Suite in Boutique Marshall Slocum Inn,Private room,156,1,70
Newport Boutique Hotel w/Parking,Hotel room,157,1,94
2 Bedroom Apartment,Private room,278,1,14
Private  1 bdrm basemt. apt/beach,Entire home/apt,189,1,12
Newport Boutique Hotel King Bed w/ parking,Hotel room,137,1,53
Captains Quarters - off st parking  / private bath,Private room,125,2,230
Newport Boutique Hotel King Bed w/Parking,Hotel room,153,1,36
Small Guest Cabin Near Beach at Rockbriar Farm,Entire home/apt,77,2,133
Beautiful Beach Home for Reunions,Entire home/apt,779,2,79
Newport Boutique Hotel Private Cottage  king bed,Hotel room,160,1,51
Historic Hill Beach House  Newport Summer Rental,Entire home/apt,400,30,2
Townhouse for Sailing Events,Entire home/apt,325,3,9
Quiet Country Setting,Private room,50,2,112
Lovely Home on Block Island | Ocean views Big lawn,Entire home/apt,732,4,27
Historic home in Narragansett -BR,Private room,210,3,27
Seaside Retreat:private bath - off street parking,Private room,125,2,225
Serenity by the Sea-charming 2BR,Entire home/apt,300,7,10
Simonelli Lower Apt.,Entire home/apt,600,2,21
Plum Beach Cottage,Entire home/apt,257,28,15
Historic home by the sea - YR,Private room,200,1,35
Room of a Thousand Hours,Private room,55,1,175
Bonnets Treasure :  Narragansett & Newport,Entire home/apt,125,6,46
FEMA approved - Ideal for Navy - Blossom room,Private room,164,31,5
FEMA approved - Ideal for MILPERS TDY/TAD,Private room,110,31,11
Waterfront in Jamestown  magnificent sunset views!,Entire home/apt,1000,7,0
Country & Minutes to Newport and Walk to 2nd Beach,Private room,120,2,46
Luxurious Private Beach House,Entire home/apt,1500,2,39
Barker House Cozy Twin room  (2 twin beds),Private room,151,1,49
Cheerful room with Queen bed plus single bed,Private room,171,1,37
Wonderful East Side  steps from Brown,Entire home/apt,215,3,10
The Tidewater (with amazing steam shower),Private room,60,2,143
Cozy room on 3rd,Private room,53,1,23
Lovely home  TOWN Beach & Gorgeous Narrow River!,Entire home/apt,292,3,21
Lakeside Cottage in Hope Valley  RI,Entire home/apt,161,1,73
Lovely East Side Home near Brown,Entire home/apt,406,3,24
CHARMING  WATERVIEW IN TIVERTON,Private room,85,2,70
Spectacular Salt Water Front!,Entire home/apt,700,3,6
Large 1 BR with Harbor View,Entire home/apt,202,3,438
Mi casa su casa,Private room,40,1,354
Shel House,Entire home/apt,750,2,79
Peaceful retreat in the city,Entire home/apt,53,2,130
The Happy Place,Entire home/apt,70,2,72
Pier Area Home!  Great for large groups! Sleeps 11,Entire home/apt,400,7,20
Charming 2 Bedroom Cottage w/Porch  - Jamestown,Entire home/apt,200,3,90
Wyndham Inn on the Harbor- 1 bdrm,Entire home/apt,119,2,3
The Library,Private room,179,2,25
Ocean  Beach  Cliff View on Newport Beach 4br 3ba!,Entire home/apt,395,2,17
Gansett Rental. 2018 Upgrades!,Entire home/apt,275,7,19
Reasonable in the Heart of the City  Monthly,Entire home/apt,66,45,6
Family Suite,Private room,150,2,44
Charming in-town Victorian Cottage!,Entire home/apt,1200,2,19
Paradise Farmhouse at Norman Bird Sanctuary,Entire home/apt,1429,3,12
Cute Cottage Ocean View & big yard,Entire home/apt,330,7,3
Sunny Studio  on the East Side/ Own Entrance,Private room,92,2,256
Two bedroom apt  with the best view,Entire home/apt,300,7,2
Stately Victorian Near Beaches/Newport. 12 beds,Entire home/apt,1045,1,104
Sweet Retreat by Mt. Hope Bay!,Entire home/apt,78,1,53
Beautiful Home North Rhode Island,Entire home/apt,95,2,20
Renovated! Walk to Town/Beach/CliffWalk/Mansions,Entire home/apt,250,28,2
Cottage on Historic Hill 2  90 Prospect Hill St,Entire home/apt,465,3,22
Bonnet Shores  Narragansett R.I. Beach House,Entire home/apt,300,2,39
Light Filled  Beachy 2 Bedroom  outdoor fire pit,Entire home/apt,165,7,34
Perfect location for 2 (or more!),Private room,60,2,36
#1 location- Perfect for Weddings & Vacation,Entire home/apt,850,2,48
All inclusive 1 Bedroom corporate apartment,Entire home/apt,99,7,18
Newport - Stay In A Beautiful 1887 Victorian Home!,Private room,300,1,28
Great Pt. Judith location! Pets welcome!,Entire home/apt,263,2,0
Historic farmhouse: Urban Sanctuary #usa1731,Entire home/apt,142,6,101
