name,room_type,price,minimum_nights,number_of_reviews
Tiny House Special on the Platte River!! (Monthly),Entire home/apt,24,28,9
Wonderful suite in the city,Private room,55,1,89
Beautifully Remodeled Home! Close to Downtown!,Entire home/apt,199,3,0
Private yet close to everything!,Entire home/apt,99,1,102
King Bed  Full bath  Private Entrance. City+Slopes,Private room,51,1,176
Platte Park at Wellshire Heights,Private room,78,30,15
Cute 2bd/1ba 3mi from DU and Cherry Creek,Entire home/apt,129,2,81
Cozy Central Denver Suite with Private Entrance,Entire home/apt,79,1,524
Clean  bright & convenient,Entire home/apt,149,4,70
*4000+sqft REMODEL 6bdrm/2kitchen/3bath near Park,Entire home/apt,458,3,47
Charming Newly Built Carriage House,Entire home/apt,106,2,268
Baldwin Piano Loft - City Center/Downtown Denver,Entire home/apt,116,2,8
1 block from 16th street mall!!,Entire home/apt,130,28,0
Modern Loft in Historic Highlands,Entire home/apt,129,3,198
Close to Convention Center,Entire home/apt,90,30,43
Large Bedrm  Gym Views PvtBath Prkg,Private room,75,180,44
Backyard oasis with  pool  hot tub  and much more!,Entire home/apt,399,5,24
Charming House Cherry Creek - Walk Everywhere!,Entire home/apt,119,30,250
Beautiful Walkout Basement Apt incl one car garage,Entire home/apt,75,30,27
1887Victorian3bed2Bath-hot tub  DownTown 420Okay,Entire home/apt,247,1,145
Private Room in Amazing *SAFE STAY* Building!!,Hotel room,120,1,35
Comfy Bed in FEMALE ONLY Shared Room!,Hotel room,38,1,111
Amazing Bunk FEMALE Only Shared Room!,Hotel room,46,1,54
Incredible View in Private 4 Bed Room!,Hotel room,97,1,42
Awesome Shared Room Next to Best Bars in Denver!,Shared room,53,1,73
4 Bed Private @  SAFE STAY  Hostel Downtown!,Hotel room,89,1,89
Best Hostel Closest to LoDo  RiNo  Union Station!!,Shared room,41,1,60
Cozy  vintage Baker home just 1 block off Broadway,Entire home/apt,111,1,95
Stylish 2 story unit in Victorian Mansion,Entire home/apt,125,1,155
420 friendly,Entire home/apt,105,3,193
Zen Get Away,Private room,82,1,48
Denver Highlands Haven,Entire home/apt,97,29,95
Upstairs @ Eric's - HipFunPad & Super Neighborhood,Entire home/apt,117,1,339
House Downtown Denver “The Lily-Pad”,Entire home/apt,98,2,170
New Modern Home in West Highlands,Entire home/apt,300,30,14
Entire Guest Suite with private entrance,Entire home/apt,75,1,62
Downtown/Ballpark/Walkable/Top 11 Airbnb in Denver,Entire home/apt,132,2,383
Entire Apartment Denver DTC - Long term only.,Entire home/apt,51,28,32
Monthly rental in University Hills,Private room,35,30,14
Artist 1bdrm home. Heart of Rhino! Near Downtown.,Entire home/apt,110,30,105
Private Lock-off in RiNo (250+ Positive Reviews!),Entire home/apt,106,1,285
Modern  bright  new space close to Cherry Creek,Private room,75,2,16
Cats and chardonnay  sunny  safe,Private room,36,1,28
420-Friendly Welcoming Plush Suite in 1939 Home,Private room,90,2,268
Full Apartment! Close to Downtown!,Entire home/apt,90,3,143
Modern  just remodeled and gorgeous,Entire home/apt,124,3,142
Meade Street - Great Value and Location!,Entire home/apt,126,1,388
Private outdoor space w/city view! Brooks Tower 6F,Entire home/apt,60,30,8
Denver Victorian Mansion Apartment,Entire home/apt,118,2,220
Downtown Studio! Brooks Tower 6M,Entire home/apt,58,30,4
Downtown Apt - Walker's Paradise! Brooks Tower 4I,Entire home/apt,58,30,3
Bed  Bath and Hot Tub with Private Entrance,Private room,75,2,178
Eco-Friendly Sunnyside 2 Bedroom Bungalow,Entire home/apt,160,3,92
Cozy One Bedroom in Ideal Location,Entire home/apt,85,2,26
Modern and Bright LoHi Townhome  Amazing Location!,Entire home/apt,200,2,12
Modern apartment in LoHi,Entire home/apt,104,3,201
Stroll around Sloans Lake from a Beautifully Curated Home,Entire home/apt,176,2,92
Hip Neighborhood! Comfy house! No car needed!,Entire home/apt,139,30,58
Colorful & Loving 420-friendly Denver Condo,Entire home/apt,128,1,515
Close to Everything!,Private room,75,30,24
Cozy Base in Vibrant Family Home (1 or 2 bedrooms),Private room,48,1,19
Sunnyside Bungalow Bedroom,Private room,68,2,53
Studio in Heart of City Park--7 min to Downtown!,Entire home/apt,89,2,99
Resort style living downtown Denver,Entire home/apt,75,90,3
DTC Townhome,Entire home/apt,399,182,0
Historical Victorian Landmark Whittier/Five Points,Entire home/apt,475,3,12
Cool Mid-Century Minimalist Gem at Sloans Lake,Entire home/apt,164,30,98
Capitol Hill Apartment with deck & yard,Entire home/apt,109,3,32
Cozy home near Denver!,Private room,81,2,14
Cozy room near Downtown Denver!!,Private room,53,1,99
Cozy  Private Room in a Warm & Inviting home!!!,Private room,41,1,137
2-Rm Basement Apt.  in Private Home for 1 Female,Private room,40,30,12
Clean  central 2nd floor apt w/ NEW QUEEN BED,Entire home/apt,77,1,135
17th & Larimer Private  Quiet Condo,Entire home/apt,110,30,10
Luxurious Dream Villa in the Heart of Denver,Entire home/apt,825,3,9
Private Apartment  In Historic Mansion,Entire home/apt,96,2,81
Gypsy in Cap hill/ w parking.,Entire home/apt,66,30,20
Relax in a Spacious Home  2 Blocks from Wash Park,Entire home/apt,146,3,232
Cute 420 cottage  close downtown & lightrail,Entire home/apt,107,30,66
❤️Denver | Private Hot Tub | Patio | Garage |,Entire home/apt,248,1,302
Master Suite in Wash Park Gaylord Street Retreat,Entire home/apt,119,2,276
Large  Beautiful Historic Home,Entire home/apt,569,3,75
Jersey in Denver,Private room,58,1,227
Pvt RoofTop HotTub! Incredible City Views-Townhome,Entire home/apt,404,3,135
Retro Pad by DU in Virginia Village,Entire home/apt,75,2,199
Private Backyard Tiny House,Private room,41,2,5
1885 Victorian Suite,Private room,88,1,448
♛ King RiNo ♛ Private Yard,Entire home/apt,161,2,356
Craftman Bungalow/Garden Room,Private room,170,2,26
STUNNING CONDO-18TH FLOOR MT VIEWS!,Entire home/apt,195,30,7
Denver Victorian @City Park close to RiNo/Downtown,Entire home/apt,320,3,25
Quiet suite in upscale townhome with a lovely view,Private room,70,2,80
Quiet Denver Vintage House,Entire home/apt,115,30,13
See Downtown Denver from a Designer Loft,Entire home/apt,140,2,140
Historic Victorian 1Bd/1Bh near heart of DT Denver,Private room,53,1,267
420 Friendly 91,Entire home/apt,121,3,115
Cozy condo a beat from the heart of Denver.,Entire home/apt,100,30,205
Cozy N. Park Hill private Garden level apartment.,Entire home/apt,50,2,240
1909 Charming Wash Park Bungalow,Entire home/apt,175,2,40
Denver Carriage House,Entire home/apt,77,2,177
A Self-Care Sanctuary/ Charming Home in Highlands,Entire home/apt,250,30,2
Denver Lohi cottage,Entire home/apt,80,30,89
Charming English Tudor with relaxing back yard,Entire home/apt,160,2,30
HISTORIC LOFT STEPS FROM UNION STATION!,Entire home/apt,125,30,13
Private - Art Inspired Urban Guest suite + Bikes,Entire home/apt,102,1,364
Central Location! Cute & Cozy Basement Apartment,Entire home/apt,71,1,429
2 King Bedroom Apartment Near Downtown,Entire home/apt,122,2,361
