name,room_type,price,minimum_nights,number_of_reviews
Charming 2 Bed/1.5 Bath located on Harvard Street!,Entire home/apt,108,91,0
Convenience  Cozy  and Free Parking,Entire home/apt,131,2,179
Alpha Room @ CCVP in Harvard Square,Private room,79,1,221
Harvard Square 1br,Shared room,395,91,1
Omega Room @ CCVP in Harvard Square,Private room,79,1,206
Cambridge Vacation Rental Rooms M807 #1,Private room,160,2,7
Charming House in Cambridge C36W,Private room,54,32,9
One Bedroom Close to MIT (1522),Private room,109,1,68
East Cambridge  MIT  Kendall & free parking!,Entire home/apt,158,2,137
Quiet 2 Bedroom Apartment near MIT  BU & HBS,Entire home/apt,197,91,9
Beautiful 2 bed in Harvard Square,Entire home/apt,289,1,219
Sunny  Modern Townhouse By Kendall Square!,Private room,50,3,101
Spacious room in a townhouse by Kendall Square!,Private room,44,2,75
Three-bedroom Harvard Square condo.,Entire home/apt,255,32,12
Phil's Apartment at Harvard - Harvard Room,Private room,143,1,174
Phil's Apartment at Harvard - MIT Room,Private room,143,1,175
Phil's Apartment at Harvard - Two Rooms,Private room,279,1,3
Cambridge Vacation Rental Rooms M807 #2,Private room,155,2,14
Prime location Harvard/Porter Sq,Private room,75,2,141
One Bedroom Close to MIT (1532),Private room,100,1,57
Fully Furnished 1BR Apt | Gym | Panoramic views,Entire home/apt,246,30,1
Luxury 1BR Apt | Washer/D | Gym | Cambridge MA,Entire home/apt,889,30,1
Lavish 1BR Apt | Gym | Panoramic Views | Boston,Entire home/apt,246,30,1
Spacious 2BR Apt | Washer/D | Panoramic Views,Entire home/apt,318,30,3
Near Harvard  Central  Square   and Fenway Park,Entire home/apt,360,91,32
Private & Clean 2BR Apt | Gym | East Cambridge,Entire home/apt,318,30,1
1 Bedroom in the Heart of Kendall Square,Entire home/apt,71,1,176
private studio near Harvard/MIT,Entire home/apt,150,2,178
On River/Harvard Sq. two blocks,Entire home/apt,127,1,174
The Kendall Cottage,Entire home/apt,175,3,2
1 Bedroom in Kendall Square,Entire home/apt,71,1,177
SPACIOUS 1 BED + DEN in HARVARD SQ,Entire home/apt,149,2,28
Private Rm near Tufts/Harvard/MIT/MGH**,Private room,95,14,26
One Bedroom Short Walk to Harvard (Rm 3),Private room,110,1,1
One Bedroom Short Walk to Harvard (Rm 14),Private room,110,1,12
One Bedroom Short Walk to Harvard (Rm 2),Private room,110,1,4
Harvard/MIT (Unit 1)- Brooklyn Ambiance w/ Parking,Entire home/apt,250,2,169
Spacious 2BR 2 bath w/deck  walk to Harvard & MIT,Entire home/apt,296,4,115
One Bedroom Short Walk to Harvard (Rm 13),Private room,110,1,13
One Subway Stop to Harvard Two Stops to MIT (B),Private room,101,1,20
