name,room_type,price,minimum_nights,number_of_reviews
12 South Loft - Private Guesthouse,Entire home/apt,118,2,113
2 Blocks from Music Row! Longer Stays Welcome!,Entire home/apt,307,2,170
Luxury Hillsboro Village Condo,Entire home/apt,137,30,132
Period Cottage in the Foodie East Nashville Neighborhood,Entire home/apt,364,3,82
The Writer’s Pad Nashville ~ Furnished luxury home,Entire home/apt,130,30,30
Spacious E Nashville 2nd Fl Suite,Private room,99,2,209
In The Middle of Downtown Nashville,Entire home/apt,179,1,305
Best Deal near downtown- Adorable!!,Entire home/apt,129,2,55
Stylish 2br E. Nashville  stay month to month,Entire home/apt,120,30,99
Cozy Lockeland Springs Private Loft,Entire home/apt,84,2,308
4BR in East Nashville on Greenway,Entire home/apt,151,2,19
Primitive Camp Site. 45 min west of Nashville,Entire home/apt,33,2,12
Fantastic Location! West End/Vanderbilt/Elliston,Entire home/apt,90,90,1
Nashville Cottage at 5 Points,Entire home/apt,83,1,338
Downtown Nashville Condo- Riverfront,Entire home/apt,245,2,49
Kooler Kendall,Entire home/apt,342,3,27
Stylish Ranch Retreat - Be Downtown in 15 minutes,Entire home/apt,224,3,5
Wonderful NEW 4 Bd/3Ba Home!  3mi to Downtown. 1,Entire home/apt,379,2,35
Family home in Green Hills,Entire home/apt,350,30,0
Hip East Nashville - 1.5 miles off Broad,Entire home/apt,93,2,126
Germantown - 1.7 mi to downtown,Entire home/apt,164,1,264
Private flat with a view!,Entire home/apt,111,2,224
Inviting East Nashville Home,Entire home/apt,421,2,11
Room in Nashville,Private room,130,1,0
"NEW HOPE CT BY THE LAKE PARADISE RM
Nonsmokers plz",Private room,29,31,8
SPACIOUS MASTER BEDROOM NEAR PERCY PRIEST LAKE  NS,Private room,34,31,5
Stylish East Nashville Getaway,Entire home/apt,264,2,78
Big cozy house w/pool  near airport,Entire home/apt,154,2,160
12South Charmer. Guest Cottage ideal for ext. stay,Entire home/apt,50,30,151
Minutes from Downtown Nashville  Sleeps 12!,Entire home/apt,273,3,17
Charming Townhouse,Private room,50,1,0
Loft Style Studio - CLOSE TO DOWNTOWN NASHVILLE,Private room,65,31,27
Massive Palace Close to Downtown!,Entire home/apt,980,1,34
Amazing Master Suite -- Heart of East Nashville,Private room,214,1,51
East Nashville Jewel,Private room,131,1,61
Stay in Style Where the Musicians Live,Entire home/apt,368,1,198
Fabulous New Home Near Downtown. 2,Entire home/apt,347,2,61
A 'Real' Musician's Retreat,Entire home/apt,106,3,84
Heidtke House  A Rare Find & Featured on TV!,Entire home/apt,187,3,101
Updated Tudor Home with Backyard Deck  Office  and Kid Space,Entire home/apt,240,2,196
Best East Nashville Location - 3000ft2 Classic,Entire home/apt,335,3,17
Beachy-Chic 1BR in Music City,Entire home/apt,102,2,14
Luxurious Private Studio  10 min to downtown,Entire home/apt,114,20,263
Private Home Movie Theater Near Airport  Downtown,Private room,70,1,29
Right on Broadway!,Entire home/apt,60,1,601
Nashtown Special,Entire home/apt,514,3,29
Comfy home in East Nashville,Entire home/apt,200,3,82
East Nashville Eco Home,Entire home/apt,214,2,301
East Nash Peaceful Abode 1st Floor,Entire home/apt,58,2,327
Suite min from downtown,Private room,60,2,68
$4M - 9 000ft Belle Meade Estate w/ Pool,Entire home/apt,1250,5,119
Giant Downtown Nashville Loft/Studio,Entire home/apt,299,2,108
Wyndham Nashville- 1 bdrm near Gaylord Palms,Entire home/apt,157,2,30
Charming renovated bungalow,Entire home/apt,178,2,209
Breathtaking Views of Nashville-Close to Downtown,Entire home/apt,281,2,234
Trendy Downtown Loft! Sparkling Clean!  Walk to Broadway! Nashville,Entire home/apt,192,3,296
Apartment For Rent,Entire home/apt,85,14,8
Mid-Century Modern - sweet 4B house,Entire home/apt,371,3,24
The Launch Pad,Entire home/apt,99,1,508
Hillisboro Treehouse:  Stay 30+ Days Only,Entire home/apt,70,30,109
Hotel-Style Room 1-Block from Lower Broadway!,Entire home/apt,116,1,62
Close to Vanderbilt  West End  Broadway  Hillsboro,Entire home/apt,180,1,2
Sunny  serene room in 50s bungalow,Private room,50,30,4
Peaceful  pretty room/50s bungalow,Private room,50,3,6
Cozy  cheery room in 50s bungalow,Private room,35,30,4
3 Level Modern Home (rooftop),Entire home/apt,399,2,223
Cute Nashville Craftsman Apt-Minutes to Downtown!,Entire home/apt,70,2,156
Lovely East Nashville Private Suite,Entire home/apt,96,2,306
Apt Facing Winners and Losers Bar!!!,Private room,79,1,464
3 Bedroom Home in popular 12South! • Near Downtown,Entire home/apt,195,2,161
Mt Juliet: 1BR Happy Hollow Cabin,Entire home/apt,95,5,379
Beautiful Home - Historic Neighborhood!,Entire home/apt,490,2,14
Sunny treetop loft walk to 5 points,Entire home/apt,139,1,0
Stroll to East Nashville Restaurants from Cozy Guest Suite,Entire home/apt,106,1,408
The Stewart House - Half House,Entire home/apt,195,2,237
Home (3BR) Close to everything EAST Nashville,Entire home/apt,152,3,168
Musician's Abode - East Nashville,Entire home/apt,145,1,230
Rollin On The River,Entire home/apt,95,2,139
Charming 2 Bedroom near City Center,Entire home/apt,158,2,126
Clean  Modern Five Points Apartment,Entire home/apt,100,2,274
Renovated 2nd Fl Apt w/ Private Entrance,Entire home/apt,104,2,184
West End Condo- Mins from Downtown,Private room,200,30,0
Perfect Home in Germantown Hot Spot!!,Entire home/apt,172,2,67
Freedom Annex,Entire home/apt,80,3,173
Dreamy Tiny House Cottage-Most Wish-listed in Tennessee,Entire home/apt,117,1,668
Opryland Incredible 2 Bedroom-Music  Mall  Groups+,Entire home/apt,206,2,68
14-Person Condo overlooking Nissan Stadium & River,Entire home/apt,374,1,81
◊ WOW! spa  luxury  large patio  3bed/2ba parking◊,Entire home/apt,202,2,72
Beautiful East Nashville Home,Entire home/apt,154,2,181
4 Bedroom New Constr 1 Acre Estate,Entire home/apt,750,1,0
The Jackson,Entire home/apt,92,1,461
Sylvan Park Home - 3 BR/ 3 Baths,Entire home/apt,200,2,1
Historic Midtown Apartment on Broadway!,Entire home/apt,75,1,367
Wyndham Nashville- 2 bdrm condo,Entire home/apt,148,2,4
Newly Remodeled Centennial Park,Private room,76,2,248
